id,object,task_id,annonce_id,agency_id,agency_page,agency_contact_name,agency_img_url,agency_phone_number,agency_has_email,agency_link,address,area,bedrooms_count,business_unit,coownership_annual_charges,coownership_number_of_lots,coownership_is_syndic_procedure,contact_is_private_seller,contact_email,description,district,dpe,estate_type,electricity_consumption,estate_type_id,ges,gas_emissions,highlighting_level,insee_code,is_furnished,is_exclusive,is_expired,monthly_price,nature,postal_code,picture_count,price,price_per_meter,price_decrease_percent,publication_id,rooms,short_description,transaction_type,tags,url,virtual_visit_url,collected_at,input_url,sold,selling_time,old_price
5830291,result,52,220393829,308701,https://www.seloger.com/professionnels/agents-commerciaux/hendaye-64700/agence-33779/,iad France  Carolina Martin,https://v.seloger.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,06 78 59 25 40,t,https://www.iadfrance.fr/fr/conseiller/@carolina.martin??utm_campaign=spring&utm_medium=referral&utm_source=seloger,Hendaye,20,0,1,,,,f,t,,Orio,E,appartement,,1,B,,1,,f,f,f,621,1,64700,3,103000,5500,,30308701,2,"appartement à vendre - iad France - Carolina Martin vous propose : Situe au troisieme etage d'un bâtiment historique de Hendaye, avec ascenseur, ce fonctionnel appartement t1 bis est une opportunite unique pour les investisseurs. L'appartement comprend un sejour avec une cuisine americaine equipee, un espace nuit et une salle d'eau avec WC. Une [...]",2,"2 pieces, 1 chambre, 20 m2, etage 3/0, ascenseur",https://www.seloger.com/annonces/achat/appartement/hendaye-64/orio/220393829.htm,,2024-06-29 14:07:02.221603,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,110000
5928271,result,49195394,224562683,531006,https://www.seloger.com/professionnels/agences-immobilieres/hendaye-64700/agence-131251/,O.G.I. - A. PEREZ IMMOBILIER,,06 62 82 86 81,t,,Hendaye,23.001725129384702,0,1,,,,f,t,,Centre Ville-La Plage,F,studio,,1,C,,1,,f,f,f,677,1,64700,5,120000,5217,,30531006,1,"appartement à vendre - Dans le centre-ville d'Hendaye, à proximité de la place de la mairie, des restaurants et des commerces, vous découvrirez ce charmant studio lumineux situé au troisième et dernier etage, sans ascenseur. A adapter à sa préférence personnelle. Avec un cellier au rez-de-chaussée. Idéalement situé pied à terre ou primo [...]",2,"1 piece, 23 m2, etage 3/–",https://www.seloger.com/annonces/achat/appartement/hendaye-64/centre-ville-la-plage/224562683.htm,,2024-07-23 10:22:47.828507,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
5928276,result,49195394,224372111,308701,https://www.seloger.com/professionnels/agents-commerciaux/hendaye-64700/agence-33779/,iad France  Carolina Martin,https://v.seloger.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,06 78 59 25 40,t,https://www.iadfrance.fr/fr/conseiller/@carolina.martin??utm_campaign=spring&utm_medium=referral&utm_source=seloger,Hendaye,31.001984126984127,0,1,,,,f,t,,Orio,F,appartement,,1,F,,1,,f,f,f,704,1,64700,6,125000,4032,,30308701,2,"appartement à vendre - iad France - Carolina Martin vous propose : Au cOEur du centre-ville d'Hendaye, dans une petite résidence paisible, découvrez ce charmant appartement T2 en entresol, entièrement rénové en 2021 et vendu meublé. Il se compose d'une entrée, d'un séjour avec cuisine américaine, d'une chambre avec placard intégré et d'une salle [...]",2,"2 pieces, 1 chambre, 31 m2, etage 0/0",https://www.seloger.com/annonces/achat/appartement/hendaye-64/orio/224372111.htm,,2024-06-29 14:07:31.920921,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
5830290,result,51,220393827,308701,https://www.seloger.com/professionnels/agents-commerciaux/hendaye-64700/agence-33779/,iad France  Carolina Martin,https://v.seloger.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,06 78 59 25 40,t,https://www.iadfrance.fr/fr/conseiller/@carolina.martin??utm_campaign=spring&utm_medium=referral&utm_source=seloger,Hendaye,30,0,1,,,,f,t,,Orio,E,appartement,,1,B,,1,,f,f,f,760,1,64700,4,128000,4500,,30308701,2,"appartement à vendre - iad France - Carolina Martin vous propose : Situe au quatrieme etage d'un bâtiment historique avec ascenseur, cet appartement t2 à Hendaye est une opportunite exceptionnelle pour les investisseurs. L'appartement comprend une entree, un sejour, une cuisine, une chambre et une salle d'eau avec WC. Une cave en rez-de-chaussee [...]",2,"2 pieces, 1 chambre, 30 m2, etage 4/0, ascenseur",https://www.seloger.com/annonces/achat/appartement/hendaye-64/orio/220393827.htm,,2024-06-29 14:07:01.501737,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,135000
5830305,result,73,217344333,308701,https://www.seloger.com/professionnels/agents-commerciaux/hendaye-64700/agence-33779/,iad France  Carolina Martin,https://v.seloger.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,06 78 59 25 40,t,https://www.iadfrance.fr/fr/conseiller/@carolina.martin??utm_campaign=spring&utm_medium=referral&utm_source=seloger,Hendaye,27.000964320154292,0,1,,,,f,t,,Centre Ville-La plage,E,studio,,1,B,,1,,f,t,f,788,1,64700,4,130000,5185,,30308701,1,"appartement à vendre - iad France - Carolina Martin vous propose : au coeur de la ville d'Hendaye, au premier etage d'une grande residence avec ascenseur. Venez decouvrir ce bel studio de 27m2 comprenant, entree avec placard, piece de vie avec cuisine americaine neuve donnant sur un balcon de 6m2 oriente au sud et une salle de bain avec WC. [...]",2,"1 piece, 27 m2, etage 1/4, balcon, terrasse, parking, ascenseur",https://www.seloger.com/annonces/achat/appartement/hendaye-64/centre-ville-la-plage/217344333.htm,,2024-06-29 14:07:12.334317,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",y,2 months,140000
5904780,result,15,223639779,75897,https://www.seloger.com/professionnels/agences-immobilieres/hendaye-64700/agence-129963/,BATIMO AGENCE LAGUILLON,https://v.seloger.com/s/width/150/logos/1/b/c/t/1bctbb3tho67n51exo9090awsfvhoxg1o3t5gtr40.jpg,05 59 48 00 78,t,http://www.agence-laguillon.com/,Hendaye,28.997514498757248,0,1,,,,f,t,,Orio,C,appartement,,1,A,,1,,f,t,f,788,1,64700,16,140000,4828,,30075897,2,"appartement à vendre - Dans petite copropriété sans charges au coeur de la ville, dans une petite impasse au calme, venez découvrir cet appartement plein de charme composé d'un séjour/salle à manger, cuisine ouverte, wc séparé, salle de bains et chambre avec placards à l'etage. Rare dans le quartier!",2,"2 pieces, 1 chambre, 29 m2, etage 0/1",https://www.seloger.com/annonces/achat/appartement/hendaye-64/orio/223639779.htm,,2024-07-16 09:45:14.788642,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
4745697,result,83,211444275,308701,https://www.seloger.com/professionnels/agents-commerciaux/hendaye-64700/agence-33779/,iad France  Carolina Martin,https://v.seloger.com/s/width/150/logos/1/p/r/1/1pr1oxlmz4kyqvu66wx3ep4lj08763due0cna7cxy.jpg,06 78 59 25 40,t,https://www.iadfrance.fr/fr/conseiller/@carolina.martin??utm_campaign=spring&utm_medium=referral&utm_source=seloger,Hendaye,44.00371862410908,0,1,,,,f,t,,Centre Ville-La Plage,F,appartement,,1,C,,1,,f,f,f,799,1,64700,7,142000,3227,,30308701,3,"appartement à vendre - iad France - Carolina Martin vous propose : Au centre ville. Près de toutes commodités, des commerces, restaurants, marchés et écoles, se trouve cet appartement de type T3 composé d'une entrée, un dégagement avec placard qui dessert un séjour avec cuisine américaine, deux chambres avec placard et une salle d'eau avec WC. [...]",2,"3 pieces, 2 chambres, 44 m2, etage 1/0",https://www.seloger.com/annonces/achat/appartement/hendaye-64/centre-ville-la-plage/211444275.htm,,2024-07-16 09:46:23.910569,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",y,1 month,
5830307,result,79,216032375,449870,https://www.seloger.com/professionnels/agences-immobilieres/hendaye-64700/agence-7707/,aGENCE HENDaYE IMMObILIER,,05 59 20 66 66,t,,Hendaye,29.548989113530325,0,1,,,,f,t,,Orio,C,studio,,1,A,,1,,f,f,f,854,1,64700,8,147000,5144,,30449870,1,"appartement à vendre - Dans residence recente, situe au 1er etage, coup de coeur assure pour ce beau studio à Hendaye avec une vue imprenable sur jaizquibel Il se compose d'une entree donnant sur un sejour avec cuisine ouverte et une salle de bains. Une place de parking complete ce bien. Le ravalement de façade a ete fait en 2023. pas de travaux [...]",2,"1 piece, 30 m2, etage 1/0, parking",https://www.seloger.com/annonces/achat/appartement/hendaye-64/216032375.htm,https://tour.previsite.com/8765Fa98-5258-19b6-EE08-b441bC2F3CED,2024-06-29 14:07:27.747104,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,152000
5928270,result,49195394,224567921,531006,https://www.seloger.com/professionnels/agences-immobilieres/hendaye-64700/agence-131251/,O.G.I. - A. PEREZ IMMOBILIER,,06 62 82 86 81,t,,Hendaye,28.99980272243046,0,1,,,,f,t,,Moleres-Sopite,C,appartement,,1,A,,1,,f,f,f,826,1,64700,7,147000,5069,,30531006,2,appartement à vendre - Il est constitué d'une entrée donnant accès à un séjour avec cuisine ouverte et d'une salle de bains. Ce bien est complété par une place de parking. La rénovation de la façade a été réalisée en 2023. Il n'y a pas de projet de travaux dans la copropriété. A voir dès que possible! Bien GPI,2,"2 pieces, 1 chambre, 29 m2, etage 1/2",https://www.seloger.com/annonces/achat/appartement/hendaye-64/moleres-sopite/224567921.htm,,2024-07-23 10:22:47.338447,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
5923643,result,49195394,224379559,75897,https://www.seloger.com/professionnels/agences-immobilieres/hendaye-64700/agence-129963/,BATIMO AGENCE LAGUILLON,https://v.seloger.com/s/width/150/logos/1/b/c/t/1bctbb3tho67n51exo9090awsfvhoxg1o3t5gtr40.jpg,05 59 48 28 00,t,http://www.agence-laguillon.com/,Hendaye,21.998808459934466,0,1,,,,f,t,,Centre Ville-La Plage,D,studio,,1,B,,2,,f,t,f,830,1,64700,8,147700,6714,,30075897,1,"appartement à vendre - Au coeur d'Hendaye plage, avec l'ensemble des commerces et la plage à moins de 100m, studio au premier etage sans ascenseur situé dans une petite copropriété comprenant une entrée avec placards, piece de vie exposée Sud avec cuisine ouverte, salle de bains-wc, une cave complète ce bien.",2,"1 piece, 22 m2, etage 1/3",https://www.seloger.com/annonces/achat/appartement/hendaye-64/centre-ville-la-plage/224379559.htm,,2024-07-23 10:22:52.493536,"https://www.seloger.com/list.htm?projects=2,5&types=1&natures=1,2,4&places=[{%22inseeCodes%22:[640260]}]&price=NaN/300000&enterprise=0&qsVersion=1.0&sort=d_dt_crea&m=search_hp_last",n,,
