id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-969882,2019-08-30,1,Vente,148000,3,,RUE HAUTE,1150,64700,64260,Hendaye,64,,,64260000AM0150,,,29,,,,,,,,,,1,2,Appartement,50.00,3,,,,,,-1.7725110,43.3587840,000AM
2019-969889,2019-01-11,1,Vente,722229,3,B,RUE DES LILAS,1375,64700,64260,Hendaye,64,,,64260000AT0407,,,,,,,,,,,,,0,1,Maison,206.00,5,S,sols,,,500.00,-1.7684140,43.3730600,000AT
2019-969894,2019-01-17,1,Vente,130000,2,,RUE DES DEPORTES,730,64700,64260,Hendaye,64,,,64260000AL0224,,,46,,79,,80,,,,,,3,2,Appartement,71.00,3,,,,,,-1.7817790,43.3523830,000AL
2019-969897,2019-01-03,1,Vente,150000,2,,RUE DE SANTIAGO,2040,64700,64260,Hendaye,64,,,64260000AL0399,,,33,35.90,,,,,,,,,1,2,Appartement,36.00,2,,,,,,-1.7764240,43.3532700,000AL
2019-969901,2019-01-04,1,Vente,125000,4,,RUE PELLOT,1785,64700,64260,Hendaye,64,,,64260000AM0694,,,102,,,,,,,,,,1,2,Appartement,52.00,2,,,,,,-1.7720650,43.3578970,000AM
2019-969902,2019-01-07,1,Vente,245000,58,,BD DE L EMPEREUR,840,64700,64260,Hendaye,64,,,64260000AE0170,,,13,85.02,,,,,,,,,1,1,Maison,86.00,5,,,,,,-1.7615410,43.3607450,000AE
2019-969903,2019-01-04,1,Vente,114300,3,,RUE DES EVADES,930,64700,64260,Hendaye,64,,,64260000AN0418,,,10,31.80,,,,,,,,,1,2,Appartement,32.00,2,,,,,,-1.7762500,43.3556920,000AN
2019-969906,2019-01-07,1,Vente,14489,9001,,RES ASCOUBIA II,A011,64700,64260,Hendaye,64,,,64260000AB0490,,,14,,,,,,,,,,1,2,Appartement,29.00,2,,,,,,-1.7458800,43.3748420,000AB
2019-969906,2019-01-07,2,Vente,14489,9001,,RES ASCOUBIA II,A011,64700,64260,Hendaye,64,,,64260000AB0490,,,23,,,,,,,,,,1,2,Appartement,27.00,2,,,,,,-1.7458800,43.3748420,000AB
2019-969906,2019-01-07,3,Vente,14489,9001,,RES ASCOUBIA II,A011,64700,64260,Hendaye,64,,,64260000AB0490,,,90,,,,,,,,,,1,2,Appartement,27.00,2,,,,,,-1.7458800,43.3748420,000AB
2019-969907,2019-01-07,4,Vente,21075,9001,,RES ASCOUBIA II,A011,64700,64260,Hendaye,64,,,64260000AB0490,,,63,,,,,,,,,,1,2,Appartement,42.00,3,,,,,,-1.7458800,43.3748420,000AB
2019-969908,2019-01-07,5,Vente,14489,9001,,RES ASCOUBIA II,A011,64700,64260,Hendaye,64,,,64260000AB0490,,,86,,,,,,,,,,1,2,Appartement,27.00,2,,,,,,-1.7458800,43.3748420,000AB
2019-969908,2019-01-07,6,Vente,14489,9001,,RES ASCOUBIA II,A011,64700,64260,Hendaye,64,,,64260000AB0490,,,34,,,,,,,,,,1,2,Appartement,27.00,2,,,,,,-1.7458800,43.3748420,000AB
2019-969917,2019-01-11,1,Vente,119000,9,,RUE DES RESERVOIRS,1940,64700,64260,Hendaye,64,,,64260000AN0347,,,4,,,,,,,,,,1,2,Appartement,30.00,2,,,,,,-1.7706880,43.3541250,000AN
2019-969918,2019-01-09,1,Vente,197000,9614,,CHE DE TEILLERIA,2131,64700,64260,Hendaye,64,,,64260000AO0471,,,96,,,,,,,,,,1,2,Appartement,58.00,3,,,,,,-1.7643690,43.3606700,000AO
2019-969921,2019-01-17,1,Vente,69000,42,,RUE DU COMMERCE,680,64700,64260,Hendaye,64,,,64260000AL0005,,,10,,3,,4,,,,,,3,2,Appartement,51.00,2,,,,,,-1.7815160,43.3526240,000AL
2019-969922,2019-01-17,1,Vente,135000,1,,RUE DE LA GUADELOUPE,1120,64700,64260,Hendaye,64,,,64260000AM0006,,,60,,,,,,,,,,1,2,Appartement,42.00,2,,,,,,-1.7767240,43.3575390,000AM
2019-969935,2019-01-10,1,Vente,206000,7,,RUE AUGUSTE ETCHENAUSIA,915,64700,64260,Hendaye,64,,,64260000AR0180,,,11,46.12,,,,,,,,,1,2,Appartement,45.00,3,,,,,,-1.7636860,43.3647110,000AR
2019-969944,2019-01-08,1,Vente,370000,4,,RUE JOSEPH ARTOLA,187,64700,64260,Hendaye,64,,,64260000AD1091,,,,,,,,,,,,,0,1,Maison,161.00,6,S,sols,,,691.00,-1.7614770,43.3671870,000AD
2019-969948,2019-01-04,1,Vente,1737490,9028,,RUE DE LA GLACIERE,1105,64700,64260,Hendaye,64,,,64260000AD0046,,,,,,,,,,,,,0,2,Appartement,103.00,4,S,sols,,,22260.00,-1.7472630,43.3708000,000AD
2019-969948,2019-01-04,1,Vente,1737490,9028,,RUE DE LA GLACIERE,1105,64700,64260,Hendaye,64,,,64260000AD0046,,,,,,,,,,,,,0,2,Appartement,103.00,6,S,sols,,,22260.00,-1.7472630,43.3708000,000AD
2019-969958,2019-01-07,1,Vente,242000,8,,RUE DE SUBERNOA,2110,64700,64260,Hendaye,64,,,64260000AM0306,,,4,,,,,,,,,,1,2,Appartement,132.00,5,,,,,,-1.7709570,43.3589100,000AM
2019-969959,2019-01-18,1,Vente,342000,43,,BD DE LA MER,1490,64700,64260,Hendaye,64,,,64260000AV0398,,,19,,,,,,,,,,1,2,Appartement,51.00,3,,,,,,-1.7700450,43.3737140,000AV
2019-969960,2019-01-22,1,Vente,325000,18,,RUE ZALDITEGIA,2270,64700,64260,Hendaye,64,,,64260000AD1298,,,,,,,,,,,,,0,1,Maison,84.00,4,S,sols,,,235.00,-1.7524460,43.3687840,000AD
2019-969963,2019-01-08,1,Vente,144000,9001,,RUE MARCEL PAUL,1445,64700,64260,Hendaye,64,,,64260000AK0525,,,123,,,,,,,,,,1,2,Appartement,50.00,2,,,,,,-1.7758670,43.3526690,000AK
2019-969964,2019-01-08,1,Vente,229000,46,,RUE BIGARENA,420,64700,64260,Hendaye,64,,,64260000AK0465,,,17,,,,,,,,,,1,2,Appartement,81.00,4,,,,,,-1.7733770,43.3508840,000AK
2019-969968,2019-01-18,1,Vente,318600,71,,AGUERRIA,B005,64700,64260,Hendaye,64,,,64260000AB0300,,,,,,,,,,,,,0,1,Maison,75.00,4,S,sols,,,384.00,-1.7471270,43.3739780,000AB
